# Atmospheric Parameters, from z=-10Mm to z=68Mm
#
# Below z=-100km, HSRASP
# Above z=-100km, Model C7 from Avrett and Loeser 2008
# HSRASP: Chapman ApJ 232 923 (1979)
# DOI: 10.1086/157355
# Model C7: Eugene H. Avrett and Rudolf Loeser ApJS 175 229 (2008)
# DOI: 10.1086/523671
#
# 0: z[km] height from z=0km, where z=0km is where tau_5000=1
# 1: T[K]
# 2: P_gas[dyn/cm^2] gas pressure
# 3: rho_tot[g/cm^3] total mass density
# 4: nH[1/cm^3] total hydrogen number density
# 5: mu[a.m.u.] mean molecular weight
# 6: X_H Hydrogen mass fraction
#
# z, T, P_gas, rho_tot, nH, mu, X_H
2.16603e+08 6.07900e+04 8.11200e-02 9.97237e-15 4.25500e+09 1.27300e+00 7.14061e-01
2.16456e+08 5.77900e+04 8.08800e-02 1.04716e-14 4.46800e+09 1.27300e+00 7.14061e-01
2.16329e+08 5.50200e+04 8.06500e-02 1.09778e-14 4.68400e+09 1.27300e+00 7.14061e-01
2.16229e+08 5.26900e+04 8.04600e-02 1.14489e-14 4.88500e+09 1.27300e+00 7.14061e-01
2.16126e+08 5.01400e+04 8.02500e-02 1.20161e-14 5.12700e+09 1.27300e+00 7.14061e-01
2.16063e+08 4.84900e+04 8.01200e-02 1.24145e-14 5.29700e+09 1.27300e+00 7.14061e-01
2.16001e+08 4.68000e+04 7.99900e-02 1.28528e-14 5.48400e+09 1.27300e+00 7.14061e-01
2.15942e+08 4.51400e+04 7.98600e-02 1.33191e-14 5.68300e+09 1.27300e+00 7.14061e-01
2.15884e+08 4.34000e+04 7.97400e-02 1.38465e-14 5.90800e+09 1.27300e+00 7.14061e-01
2.15821e+08 4.14500e+04 7.96000e-02 1.44957e-14 6.18500e+09 1.27300e+00 7.14061e-01
2.15757e+08 3.94000e+04 7.94800e-02 1.52527e-14 6.50800e+09 1.27300e+00 7.14061e-01
2.15682e+08 3.68700e+04 7.93500e-02 1.63073e-14 6.95800e+09 1.27300e+00 7.14061e-01
2.15616e+08 3.45800e+04 7.93100e-02 1.74206e-14 7.43300e+09 1.27300e+00 7.14061e-01
2.15550e+08 3.22600e+04 7.92700e-02 1.87143e-14 7.98500e+09 1.27300e+00 7.14061e-01
2.15473e+08 2.95000e+04 7.92200e-02 2.05236e-14 8.75700e+09 1.27300e+00 7.14061e-01
2.15407e+08 2.71300e+04 7.91600e-02 2.23751e-14 9.54700e+09 1.27300e+00 7.14061e-01
2.15348e+08 2.51200e+04 7.90700e-02 2.42102e-14 1.03300e+10 1.27300e+00 7.14061e-01
2.15287e+08 2.31000e+04 7.89100e-02 2.63664e-14 1.12500e+10 1.27300e+00 7.14061e-01
2.15203e+08 2.05100e+04 7.86900e-02 2.97413e-14 1.26900e+10 1.27300e+00 7.14061e-01
2.15116e+08 1.81400e+04 7.84400e-02 3.36787e-14 1.43700e+10 1.27300e+00 7.14061e-01
2.15012e+08 1.57600e+04 7.81100e-02 3.89754e-14 1.66300e+10 1.27300e+00 7.14061e-01
2.14865e+08 1.32000e+04 7.75600e-02 4.70846e-14 2.00900e+10 1.27300e+00 7.14061e-01
2.14705e+08 1.09800e+04 7.56500e-02 5.78655e-14 2.46900e+10 1.27300e+00 7.14061e-01
2.14516e+08 9.11500e+03 7.33800e-02 7.46932e-14 3.18700e+10 1.27300e+00 7.14061e-01
2.14193e+08 7.95000e+03 7.23900e-02 8.86849e-14 3.78400e+10 1.27300e+00 7.14061e-01
2.13800e+08 7.24800e+03 7.23800e-02 9.85284e-14 4.20400e+10 1.27300e+00 7.14061e-01
2.13600e+08 6.99200e+03 7.25300e-02 1.02841e-13 4.38800e+10 1.27300e+00 7.14061e-01
2.13400e+08 6.87000e+03 7.28800e-02 1.05302e-13 4.49300e+10 1.27300e+00 7.14061e-01
2.13200e+08 6.80000e+03 7.33100e-02 1.06989e-13 4.56500e+10 1.27300e+00 7.14061e-01
2.13000e+08 6.76800e+03 7.38100e-02 1.08091e-13 4.61200e+10 1.27300e+00 7.14061e-01
2.12600e+08 6.74000e+03 7.48600e-02 1.09802e-13 4.68500e+10 1.27300e+00 7.14061e-01
2.12000e+08 6.71800e+03 7.64900e-02 1.12098e-13 4.78300e+10 1.27300e+00 7.14061e-01
2.11000e+08 6.70600e+03 7.93200e-02 1.15872e-13 4.94400e+10 1.27300e+00 7.14061e-01
2.09800e+08 6.70000e+03 8.28900e-02 1.20770e-13 5.15300e+10 1.27300e+00 7.14061e-01
2.08300e+08 6.69400e+03 8.76100e-02 1.27449e-13 5.43800e+10 1.27300e+00 7.14061e-01
2.05500e+08 6.68600e+03 9.71900e-02 1.41605e-13 6.04200e+10 1.27300e+00 7.14061e-01
2.02400e+08 6.68000e+03 1.09100e-01 1.60378e-13 6.84300e+10 1.27300e+00 7.14061e-01
1.98900e+08 6.67400e+03 1.24700e-01 1.85549e-13 7.91700e+10 1.27300e+00 7.14061e-01
1.94600e+08 6.66700e+03 1.47500e-01 2.23658e-13 9.54300e+10 1.27300e+00 7.14061e-01
1.89400e+08 6.66000e+03 1.81700e-01 2.83586e-13 1.21000e+11 1.27300e+00 7.14061e-01
1.82000e+08 6.65200e+03 2.48000e-01 4.05457e-13 1.73000e+11 1.27300e+00 7.14061e-01
1.72200e+08 6.64300e+03 3.83200e-01 6.71231e-13 2.86400e+11 1.27300e+00 7.14061e-01
1.61700e+08 6.63300e+03 6.36800e-01 1.21168e-12 5.17000e+11 1.27300e+00 7.14061e-01
1.52000e+08 6.62300e+03 1.06100e+00 2.16931e-12 9.25600e+11 1.27300e+00 7.14061e-01
1.39800e+08 6.61000e+03 2.15100e+00 4.71549e-12 2.01200e+12 1.27300e+00 7.14061e-01
1.29900e+08 6.59800e+03 3.92300e+00 8.85912e-12 3.78000e+12 1.27300e+00 7.14061e-01
1.21400e+08 6.57600e+03 6.64000e+00 1.52058e-11 6.48800e+12 1.27300e+00 7.14061e-01
1.14300e+08 6.53100e+03 1.03800e+01 2.40931e-11 1.02800e+13 1.27300e+00 7.14061e-01
1.10100e+08 6.47400e+03 1.35600e+01 3.18741e-11 1.36000e+13 1.27300e+00 7.14061e-01
1.06500e+08 6.40000e+03 1.71200e+01 4.08269e-11 1.74200e+13 1.27300e+00 7.14061e-01
1.03200e+08 6.31500e+03 2.12600e+01 5.15141e-11 2.19800e+13 1.27300e+00 7.14061e-01
1.00300e+08 6.22500e+03 2.58000e+01 6.35372e-11 2.71100e+13 1.27300e+00 7.14061e-01
9.71000e+07 6.10000e+03 3.20600e+01 8.07399e-11 3.44500e+13 1.27300e+00 7.14061e-01
9.46000e+07 5.96900e+03 3.81300e+01 9.82706e-11 4.19300e+13 1.27300e+00 7.14061e-01
9.00000e+07 5.72000e+03 5.30600e+01 1.42894e-10 6.09700e+13 1.27300e+00 7.14061e-01
8.54000e+07 5.43000e+03 7.50400e+01 2.13088e-10 9.09200e+13 1.27300e+00 7.14061e-01
8.00000e+07 5.09000e+03 1.15600e+02 3.50381e-10 1.49500e+14 1.27300e+00 7.14061e-01
7.50000e+07 4.84000e+03 1.76800e+02 5.63656e-10 2.40500e+14 1.27300e+00 7.14061e-01
7.00000e+07 4.64000e+03 2.75900e+02 9.17317e-10 3.91400e+14 1.27300e+00 7.14061e-01
6.60000e+07 4.51000e+03 3.99000e+02 1.36519e-09 5.82500e+14 1.27300e+00 7.14061e-01
6.15000e+07 4.43500e+03 6.10200e+02 2.12314e-09 9.05900e+14 1.27300e+00 7.14061e-01
5.60000e+07 4.40000e+03 1.03200e+03 3.62099e-09 1.54500e+15 1.27300e+00 7.14061e-01
5.25000e+07 4.41000e+03 1.44400e+03 5.05298e-09 2.15600e+15 1.27300e+00 7.14061e-01
4.90000e+07 4.43500e+03 2.01700e+03 7.01698e-09 2.99400e+15 1.27300e+00 7.14061e-01
4.50000e+07 4.48500e+03 2.94500e+03 1.01341e-08 4.32400e+15 1.27300e+00 7.14061e-01
4.00000e+07 4.59000e+03 4.69000e+03 1.57706e-08 6.72900e+15 1.27300e+00 7.14061e-01
3.50000e+07 4.70000e+03 7.38700e+03 2.42571e-08 1.03500e+16 1.27300e+00 7.14061e-01
3.00000e+07 4.80500e+03 1.15100e+04 3.69833e-08 1.57800e+16 1.27300e+00 7.14061e-01
2.50000e+07 4.90700e+03 1.77400e+04 5.58031e-08 2.38100e+16 1.27300e+00 7.14061e-01
2.00000e+07 5.01000e+03 2.70200e+04 8.32476e-08 3.55200e+16 1.27300e+00 7.14061e-01
