# z[cm],	P[dyn/cm^2],	T[K],	rho[g/cm^3],	MU
-1.139e+07	2.278e+05	9.653e+03	3.554e-07	1.253e+00
-1.415e+07	2.556e+05	1.001e+04	3.809e-07	1.241e+00
-1.703e+07	2.867e+05	1.031e+04	4.109e-07	1.229e+00
-2.001e+07	3.217e+05	1.058e+04	4.454e-07	1.218e+00
-2.309e+07	3.610e+05	1.084e+04	4.838e-07	1.208e+00
-2.628e+07	4.050e+05	1.108e+04	5.262e-07	1.197e+00
-2.956e+07	4.545e+05	1.131e+04	5.732e-07	1.187e+00
-3.293e+07	5.099e+05	1.154e+04	6.249e-07	1.176e+00
-3.641e+07	5.721e+05	1.176e+04	6.820e-07	1.166e+00
-3.998e+07	6.419e+05	1.198e+04	7.447e-07	1.156e+00
-4.364e+07	7.203e+05	1.219e+04	8.139e-07	1.146e+00
-4.741e+07	8.082e+05	1.241e+04	8.899e-07	1.136e+00
-5.127e+07	9.068e+05	1.262e+04	9.735e-07	1.127e+00
-5.522e+07	1.017e+06	1.283e+04	1.066e-06	1.118e+00
-5.928e+07	1.142e+06	1.304e+04	1.167e-06	1.109e+00
-6.343e+07	1.281e+06	1.325e+04	1.278e-06	1.099e+00
-6.769e+07	1.437e+06	1.346e+04	1.400e-06	1.091e+00
-7.204e+07	1.613e+06	1.367e+04	1.535e-06	1.082e+00
-7.650e+07	1.809e+06	1.388e+04	1.682e-06	1.073e+00
-8.106e+07	2.030e+06	1.409e+04	1.844e-06	1.065e+00
-8.573e+07	2.278e+06	1.431e+04	2.023e-06	1.057e+00
-9.050e+07	2.556e+06	1.453e+04	2.219e-06	1.049e+00
-9.539e+07	2.867e+06	1.475e+04	2.434e-06	1.041e+00
-1.004e+08	3.217e+06	1.498e+04	2.669e-06	1.033e+00
-1.055e+08	3.610e+06	1.521e+04	2.928e-06	1.026e+00
-1.107e+08	4.050e+06	1.544e+04	3.212e-06	1.018e+00
-1.161e+08	4.545e+06	1.567e+04	3.523e-06	1.010e+00
-1.215e+08	5.099e+06	1.591e+04	3.864e-06	1.003e+00
-1.271e+08	5.721e+06	1.616e+04	4.239e-06	9.957e-01
-1.328e+08	6.419e+06	1.641e+04	4.649e-06	9.883e-01
-1.508e+08	9.068e+06	1.719e+04	6.131e-06	9.668e-01
-2.127e+08	2.556e+07	1.991e+04	1.397e-05	9.052e-01
-3.198e+08	1.017e+08	2.487e+04	4.078e-05	8.290e-01
-4.683e+08	4.050e+08	3.246e+04	1.142e-04	7.615e-01
-6.837e+08	1.613e+09	4.496e+04	3.045e-04	7.060e-01
-1.015e+09	6.419e+09	6.852e+04	7.546e-04	6.699e-01
