# Atmospheric Parameters for Model C7
# Eugene H. Avrett and Rudolf Loeser ApJS 175 229 (2008)
# DOI: 10.1086/523671
# 
# 
# 0: h[cm], height from z=0km
# 1: m[g/cm^2], column mass = P_tot/g_acc
# 2: T[K], temperature
# 3: P_gas[dyn/cm^2], gas pressure
# 4: P_tot[dyn/cm^2], total pressure = P_gas + P_turbulence
# 5: nH_tot[1/cm^3], total hydrogen density
# 
# 
# h[cm], m[g/cm^2], T[k], P_gas[dyn/cm^2], P_tot[dyn/cm^2], nH_tot[1/cm^3]
2.15287e+08 3.852e-06 2.310e+04 7.891e-02 1.055e-01 1.125e+10
2.15203e+08 3.854e-06 2.051e+04 7.869e-02 1.056e-01 1.269e+10
2.15116e+08 3.857e-06 1.814e+04 7.844e-02 1.057e-01 1.437e+10
2.15012e+08 3.861e-06 1.576e+04 7.811e-02 1.058e-01 1.663e+10
2.14865e+08 3.867e-06 1.320e+04 7.756e-02 1.060e-01 2.009e+10
2.14705e+08 3.876e-06 1.098e+04 7.565e-02 1.062e-01 2.469e+10
2.14516e+08 3.888e-06 9.115e+03 7.338e-02 1.065e-01 3.187e+10
2.14193e+08 3.915e-06 7.950e+03 7.239e-02 1.073e-01 3.784e+10
2.13800e+08 3.951e-06 7.248e+03 7.238e-02 1.083e-01 4.204e+10
2.13600e+08 3.971e-06 6.992e+03 7.253e-02 1.088e-01 4.388e+10
2.13400e+08 3.992e-06 6.870e+03 7.288e-02 1.094e-01 4.493e+10
2.13200e+08 4.014e-06 6.800e+03 7.331e-02 1.100e-01 4.565e+10
2.13000e+08 4.035e-06 6.768e+03 7.381e-02 1.106e-01 4.612e+10
2.12600e+08 4.079e-06 6.740e+03 7.486e-02 1.117e-01 4.685e+10
2.12000e+08 4.145e-06 6.718e+03 7.649e-02 1.136e-01 4.783e+10
2.11000e+08 4.259e-06 6.706e+03 7.932e-02 1.167e-01 4.944e+10
2.09800e+08 4.401e-06 6.700e+03 8.289e-02 1.206e-01 5.153e+10
2.08300e+08 4.587e-06 6.694e+03 8.761e-02 1.257e-01 5.438e+10
2.05500e+08 4.963e-06 6.686e+03 9.719e-02 1.360e-01 6.042e+10
2.02400e+08 5.430e-06 6.680e+03 1.091e-01 1.488e-01 6.843e+10
1.98900e+08 6.034e-06 6.674e+03 1.247e-01 1.653e-01 7.917e+10
1.94600e+08 6.910e-06 6.667e+03 1.475e-01 1.893e-01 9.543e+10
1.89400e+08 8.221e-06 6.660e+03 1.817e-01 2.253e-01 1.210e+11
1.82000e+08 1.074e-05 6.652e+03 2.480e-01 2.942e-01 1.730e+11
1.72200e+08 1.589e-05 6.643e+03 3.832e-01 4.353e-01 2.864e+11
1.61700e+08 2.546e-05 6.633e+03 6.368e-01 6.975e-01 5.170e+11
1.52000e+08 4.136e-05 6.623e+03 1.061e+00 1.133e+00 9.256e+11
1.39800e+08 8.131e-05 6.610e+03 2.151e+00 2.228e+00 2.012e+12
1.29900e+08 1.463e-04 6.598e+03 3.923e+00 4.009e+00 3.780e+12
1.21400e+08 2.461e-04 6.576e+03 6.640e+00 6.742e+00 6.488e+12
1.14300e+08 3.830e-04 6.531e+03 1.038e+01 1.049e+01 1.028e+13
1.10100e+08 4.997e-04 6.474e+03 1.356e+01 1.369e+01 1.360e+13
1.06500e+08 6.299e-04 6.400e+03 1.712e+01 1.726e+01 1.742e+13
1.03200e+08 7.814e-04 6.315e+03 2.126e+01 2.141e+01 2.198e+13
1.00300e+08 9.476e-04 6.225e+03 2.580e+01 2.596e+01 2.711e+13
9.71000e+07 1.177e-03 6.100e+03 3.206e+01 3.225e+01 3.445e+13
9.46000e+07 1.400e-03 5.969e+03 3.813e+01 3.835e+01 4.193e+13
9.00000e+07 1.947e-03 5.720e+03 5.306e+01 5.335e+01 6.097e+13
8.54000e+07 2.753e-03 5.430e+03 7.504e+01 7.543e+01 9.092e+13
8.00000e+07 4.240e-03 5.090e+03 1.156e+02 1.162e+02 1.495e+14
7.50000e+07 6.480e-03 4.840e+03 1.768e+02 1.775e+02 2.405e+14
7.00000e+07 1.011e-02 4.640e+03 2.759e+02 2.769e+02 3.914e+14
6.60000e+07 1.461e-02 4.510e+03 3.990e+02 4.004e+02 5.825e+14
6.15000e+07 2.234e-02 4.435e+03 6.102e+02 6.120e+02 9.059e+14
5.60000e+07 3.778e-02 4.400e+03 1.032e+03 1.035e+03 1.545e+15
5.25000e+07 5.282e-02 4.410e+03 1.444e+03 1.447e+03 2.156e+15
4.90000e+07 7.376e-02 4.435e+03 2.017e+03 2.021e+03 2.994e+15
4.50000e+07 1.077e-01 4.485e+03 2.945e+03 2.951e+03 4.324e+15
4.00000e+07 1.715e-01 4.590e+03 4.690e+03 4.699e+03 6.729e+15
3.50000e+07 2.701e-01 4.700e+03 7.387e+03 7.401e+03 1.035e+16
3.00000e+07 4.211e-01 4.805e+03 1.151e+04 1.154e+04 1.578e+16
2.50000e+07 6.500e-01 4.907e+03 1.774e+04 1.781e+04 2.381e+16
2.00000e+07 9.933e-01 5.010e+03 2.702e+04 2.721e+04 3.552e+16
1.75000e+07 1.223e+00 5.080e+03 3.319e+04 3.350e+04 4.303e+16
1.50000e+07 1.500e+00 5.165e+03 4.060e+04 4.109e+04 5.178e+16
1.25000e+07 1.831e+00 5.288e+03 4.942e+04 5.017e+04 6.156e+16
1.00000e+07 2.223e+00 5.431e+03 5.979e+04 6.092e+04 7.251e+16
7.50000e+06 2.683e+00 5.607e+03 7.186e+04 7.350e+04 8.441e+16
5.00000e+06 3.213e+00 5.826e+03 8.570e+04 8.804e+04 9.687e+16
